Appliance,Minimum_kW,Summer_kWh,Winter_kWh,Rainy_kWh,Standby_kWh
Fryer,0.133333333,0.133333333,0.133333333,0.133333333,0
Game Console,0.016,0.016,0.016,0.016,0
Gaming PC,0.04,0.04,0.04,0.04,0.000666667
Garage Door Opener,0.04,0.04,0.04,0.04,0
Google Home Mini,0.002,0.002,0.002,0.002,0.001333333
Guitar Amplifier,0.002666667,0.002666667,0.002666667,0.002666667,0
Hair Blow Dryer,0.24,0.24,0.24,0.24,0
Hand Wash Oversink Water Heater,0.4,0.4,0.4,0.4,0
Heated Bathroom Mirror,0.006666667,0.006666667,0.006666667,0.006666667,0
Heated Hair Rollers,0.053333333,0.053333333,0.053333333,0.053333333,0
Home Air Conditioner,0.133333333,0.133333333,0.133333333,0.133333333,0
Home Internet Router,0.000666667,0.000666667,0.000666667,0.000666667,0
Home Phone,0.0004,0.0004,0.0004,0.0004,0.001333333
Home Sound System,0.012666667,0.012666667,0.012666667,0.012666667,0.000666667
Hot Water Dispenser,0.16,0.16,0.16,0.16,0
Hot Water Immersion Heater,0.4,0.4,0.4,0.4,0
Humidifier,0.004666667,0.004666667,0.004666667,0.004666667,0
iMac,0.008,0.008,0.008,0.008,0.000666667
Induction Hob (per hob),0.186666667,0.186666667,0.186666667,0.186666667,0
Inkjet Printer,0.002666667,0.002666667,0.002666667,0.002666667,0
Inverter Air conditioner,0.173333333,0.173333333,0.173333333,0.173333333,0
Iron,0.133333333,0.133333333,0.133333333,0.133333333,0
Jacuzzi,0.4,0.4,0.4,0.4,1
Kitchen Extractor Fan,0.026666667,0.026666667,0.026666667,0.026666667,0
Laptop Computer,0.006666667,0.006666667,0.006666667,0.006666667,0
Laser Printer,0.08,0.08,0.08,0.08,0
Lawnmower,0.133333333,0.133333333,0.133333333,0.133333333,0
LED Christmas Lights,0.000666667,0.000666667,0.000666667,0.000666667,0
LED Light Bulb,0.000933333,0.000933333,0.000933333,0.000933333,0
LG Soundbar,0.003066667,0.003066667,0.003066667,0.003066667,0.000333333
Mi Box,0.000666667,0.000666667,0.000666667,0.000666667,0.002
Microwave,0.08,0.08,0.08,0.08,0.002
Mini Fridge Freezer,0.006666667,0.006666667,0.006666667,0.006666667,0
Night Light,0.000133333,0.000133333,0.000133333,0.000133333,0
Nintendo Switch AC Adapter,0.000933333,0.000933333,0.000933333,0.000933333,0
Outdoor Hot Tub,0.008,0.008,0.008,0.008,0
Oven,0.286666667,0.286666667,0.286666667,0.286666667,0
Paper Shredder,0.026666667,0.026666667,0.026666667,0.026666667,0
Pedestal Fan,0.006666667,0.006666667,0.006666667,0.006666667,0
Percolator,0.106666667,0.106666667,0.106666667,0.106666667,0
Philips Hue Smart Bulb,0.001066667,0.001066667,0.001066667,0.001066667,0.000266667
Phone Charger,0.000533333,0.000533333,0.000533333,0.000533333,0
Playstation 4,0.011333333,0.011333333,0.011333333,0.011333333,0
Playstation 5,0.021333333,0.021333333,0.021333333,0.021333333,0
Portable Air Conditioner,0.133333333,0.133333333,0.133333333,0.133333333,0
Power Shower,1,1,1,1,0
Pressure Cooker,0.093333333,0.093333333,0.093333333,0.093333333,0
Pressure Washer,0.2,0.2,0.2,0.2,0
Projector,0.029333333,0.029333333,0.029333333,0.029333333,0.000666667
Rice Cooker,0.026666667,0.026666667,0.026666667,0.026666667,0
Ring Spotlight Cam Wired,0.003333333,0.003333333,0.003333333,0.003333333,0.001333333
Sandwich Maker,0.093333333,0.093333333,0.093333333,0.093333333,0
Scanner,0.001333333,0.001333333,0.001333333,0.001333333,0
Set Top Box,0.0036,0.0036,0.0036,0.0036,0
Sewing Machine,0.009333333,0.009333333,0.009333333,0.009333333,0
Singer Sewing Machine,0.013333333,0.013333333,0.013333333,0.013333333,0
Sky Q 2TB Box,0.005333333,0.005333333,0.005333333,0.005333333,0
Slow Cooker,0.021333333,0.021333333,0.021333333,0.021333333,0
Smoke Detector,0,0,0,0,0
Soldering Iron,0.004,0.004,0.004,0.004,0
Space Heater,0.266666667,0.266666667,0.266666667,0.266666667,0
Steam Iron,0.293333333,0.293333333,0.293333333,0.293333333,0
Steriliser,0.086666667,0.086666667,0.086666667,0.086666667,0
Straightening Iron,0.01,0.01,0.01,0.01,0
Strimmer,0.04,0.04,0.04,0.04,0
Submersible Water Pump,0.026666667,0.026666667,0.026666667,0.026666667,0
Table Fan,0.001333333,0.001333333,0.001333333,0.001333333,0
Table Top Fridge,0.001333333,0.001333333,0.001333333,0.001333333,0
Tablet Charger,0.001333333,0.001333333,0.001333333,0.001333333,0
Tablet Computer,0.000666667,0.000666667,0.000666667,0.000666667,0
Toaster,0.106666667,0.106666667,0.106666667,0.106666667,0
Tower Fan,0.008,0.008,0.008,0.008,0
Treadmill,0.037333333,0.037333333,0.037333333,0.037333333,0
Tube Light (1500mm),0.002933333,0.002933333,0.002933333,0.002933333,0
"TV (19"" colour)",0.005333333,0.005333333,0.005333333,0.005333333,0.000666667
Vacuum Cleaner,0.06,0.06,0.06,0.06,0
Wall Fan,0.006,0.006,0.006,0.006,0
Washing Machine,0.066666667,0.073333334,0.066666667,0.073333334,0.000666667
Water Dispenser,0.013333333,0.013333333,0.013333333,0.013333333,0
Water Feature,0.004666667,0.004666667,0.004666667,0.004666667,0
Water Filter and Cooler,0.009333333,0.009333333,0.009333333,0.009333333,0
WiFi Booster,0.000133333,0.000133333,0.000133333,0.000133333,0
WiFi Router,0.000533333,0.000533333,0.000533333,0.000533333,0.002666667
Window Air Conditioner,0.066666667,0.066666667,0.066666667,0.066666667,0
Wine cooler (18 bottles),0.011066667,0.011066667,0.011066667,0.011066667,0
Xbox One,0.006666667,0.006666667,0.006666667,0.006666667,0.009333333
